[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2865.45it/s]
logs/be3a4fa5-b8e4-4da6-82ed-1162db0a2beb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 65, 66, 67, 68, 72, 131, 132, 133, 134, 136] for warmup
Resetting Model
step:0/200 val_loss:10.8297 train_time:0ms step_avg:0.03ms
step:120/200 train_time:99779ms step_avg:831.50ms step_ms:1370.18 refresh:0
step:121/200 train_time:101046ms step_avg:835.09ms step_ms:1266.10 refresh:0
step:122/200 train_time:102297ms step_avg:838.50ms step_ms:1251.66 refresh:0
step:123/200 train_time:103541ms step_avg:841.80ms step_ms:1244.20 refresh:0
step:124/200 train_time:104786ms step_avg:845.04ms step_ms:1244.10 refresh:0
step:125/200 train_time:106023ms step_avg:848.18ms step_ms:1237.14 refresh:0
step:126/200 train_time:107236ms step_avg:851.08ms step_ms:1213.60 refresh:0
step:127/200 train_time:108424ms step_avg:853.73ms step_ms:1187.26 refresh:0
step:128/200 train_time:109625ms step_avg:856.45ms step_ms:1201.95 refresh:0
step:129/200 train_time:110886ms step_avg:859.58ms step_ms:1260.71 refresh:0
step:130/200 train_time:112206ms step_avg:863.12ms step_ms:1319.53 refresh:0
step:131/200 train_time:113468ms step_avg:866.17ms step_ms:1262.45 refresh:0
step:132/200 train_time:114747ms step_avg:869.29ms step_ms:1278.58 refresh:0
step:133/200 train_time:115962ms step_avg:871.90ms step_ms:1215.54 refresh:0
step:134/200 train_time:117725ms step_avg:878.54ms step_ms:1762.63 refresh:0
step:135/200 train_time:119572ms step_avg:885.72ms step_ms:1847.26 refresh:0
step:136/200 train_time:122235ms step_avg:898.79ms step_ms:2663.08 refresh:0
step:137/200 train_time:123684ms step_avg:902.80ms step_ms:1448.57 refresh:0
step:138/200 train_time:125519ms step_avg:909.56ms step_ms:1835.27 refresh:0
step:139/200 train_time:127459ms step_avg:916.97ms step_ms:1939.46 refresh:0
step:140/200 train_time:129395ms step_avg:924.25ms step_ms:1936.29 refresh:0
step:141/200 train_time:131191ms step_avg:930.43ms step_ms:1796.19 refresh:0
step:142/200 train_time:133186ms step_avg:937.93ms step_ms:1994.80 refresh:0
step:143/200 train_time:135054ms step_avg:944.43ms step_ms:1867.78 refresh:0
step:144/200 train_time:136885ms step_avg:950.59ms step_ms:1831.71 refresh:0
step:145/200 train_time:138724ms step_avg:956.71ms step_ms:1838.32 refresh:0
step:146/200 train_time:140554ms step_avg:962.70ms step_ms:1830.35 refresh:0
step:147/200 train_time:142396ms step_avg:968.68ms step_ms:1842.40 refresh:0
step:148/200 train_time:144269ms step_avg:974.79ms step_ms:1872.45 refresh:0
step:149/200 train_time:146130ms step_avg:980.74ms step_ms:1860.82 refresh:0
step:150/200 train_time:148002ms step_avg:986.68ms step_ms:1871.89 refresh:0
step:150/200 val_loss:4.1168 train_time:148254ms step_avg:988.36ms
step:151/200 train_time:149815ms step_avg:992.15ms step_ms:1813.76 refresh:0
step:152/200 train_time:151635ms step_avg:997.60ms step_ms:1819.41 refresh:0
step:153/200 train_time:153455ms step_avg:1002.97ms step_ms:1820.44 refresh:0
step:154/200 train_time:155472ms step_avg:1009.56ms step_ms:2016.60 refresh:0
step:155/200 train_time:157441ms step_avg:1015.75ms step_ms:1968.82 refresh:0
step:156/200 train_time:159213ms step_avg:1020.60ms step_ms:1772.64 refresh:0
step:157/200 train_time:161022ms step_avg:1025.62ms step_ms:1808.43 refresh:0
step:158/200 train_time:162868ms step_avg:1030.81ms step_ms:1845.95 refresh:0
step:159/200 train_time:164773ms step_avg:1036.31ms step_ms:1905.25 refresh:0
step:160/200 train_time:166716ms step_avg:1041.97ms step_ms:1942.93 refresh:0
step:161/200 train_time:168649ms step_avg:1047.51ms step_ms:1933.48 refresh:0
step:162/200 train_time:170543ms step_avg:1052.73ms step_ms:1893.70 refresh:0
step:163/200 train_time:172407ms step_avg:1057.71ms step_ms:1863.77 refresh:0
step:164/200 train_time:174281ms step_avg:1062.69ms step_ms:1874.24 refresh:0
step:165/200 train_time:176146ms step_avg:1067.55ms step_ms:1864.55 refresh:0
step:166/200 train_time:178016ms step_avg:1072.38ms step_ms:1870.18 refresh:0
step:167/200 train_time:179881ms step_avg:1077.13ms step_ms:1865.33 refresh:0
step:168/200 train_time:181743ms step_avg:1081.80ms step_ms:1862.10 refresh:0
step:169/200 train_time:183619ms step_avg:1086.50ms step_ms:1875.63 refresh:0
step:170/200 train_time:185482ms step_avg:1091.07ms step_ms:1863.04 refresh:0
step:171/200 train_time:187345ms step_avg:1095.59ms step_ms:1863.40 refresh:0
step:172/200 train_time:189216ms step_avg:1100.09ms step_ms:1870.31 refresh:0
step:173/200 train_time:191047ms step_avg:1104.32ms step_ms:1831.58 refresh:0
step:174/200 train_time:192960ms step_avg:1108.97ms step_ms:1913.31 refresh:0
step:175/200 train_time:194865ms step_avg:1113.52ms step_ms:1904.99 refresh:0
step:176/200 train_time:196786ms step_avg:1118.10ms step_ms:1920.53 refresh:0
step:177/200 train_time:198689ms step_avg:1122.53ms step_ms:1902.72 refresh:0
step:178/200 train_time:200596ms step_avg:1126.94ms step_ms:1907.48 refresh:0
step:179/200 train_time:202500ms step_avg:1131.29ms step_ms:1904.17 refresh:0
step:180/200 train_time:204398ms step_avg:1135.55ms step_ms:1897.86 refresh:0
step:181/200 train_time:206284ms step_avg:1139.69ms step_ms:1885.58 refresh:0
step:182/200 train_time:208188ms step_avg:1143.89ms step_ms:1904.29 refresh:0
step:183/200 train_time:210082ms step_avg:1147.99ms step_ms:1894.20 refresh:0
step:184/200 train_time:211984ms step_avg:1152.09ms step_ms:1901.72 refresh:0
step:185/200 train_time:213871ms step_avg:1156.06ms step_ms:1887.40 refresh:0
step:186/200 train_time:215781ms step_avg:1160.11ms step_ms:1909.67 refresh:0
step:187/200 train_time:217667ms step_avg:1163.99ms step_ms:1885.48 refresh:0
step:188/200 train_time:219574ms step_avg:1167.95ms step_ms:1907.61 refresh:0
step:189/200 train_time:221445ms step_avg:1171.67ms step_ms:1870.81 refresh:0
step:190/200 train_time:223348ms step_avg:1175.51ms step_ms:1902.81 refresh:0
step:191/200 train_time:225247ms step_avg:1179.30ms step_ms:1898.78 refresh:0
step:192/200 train_time:227139ms step_avg:1183.02ms step_ms:1892.83 refresh:0
step:193/200 train_time:229023ms step_avg:1186.65ms step_ms:1883.68 refresh:0
step:194/200 train_time:230922ms step_avg:1190.32ms step_ms:1898.74 refresh:0
step:195/200 train_time:232822ms step_avg:1193.96ms step_ms:1900.26 refresh:0
step:196/200 train_time:234719ms step_avg:1197.55ms step_ms:1897.14 refresh:0
step:197/200 train_time:236602ms step_avg:1201.03ms step_ms:1882.76 refresh:0
step:198/200 train_time:238489ms step_avg:1204.49ms step_ms:1887.53 refresh:0
step:199/200 train_time:240382ms step_avg:1207.95ms step_ms:1892.53 refresh:0
step:200/200 train_time:242268ms step_avg:1211.34ms step_ms:1886.15 refresh:0
step:200/200 val_loss:3.8834 train_time:242543ms step_avg:1212.71ms
peak memory allocated: 37327 MiB reserved: 53118 MiB
