label	step	val_loss
old cd500->softmerge p1.10	1250	3.55302
old cd500->softmerge p1.10	1375	3.52888
old cd500->softmerge p1.10	1500	3.50363
old cd500->softmerge p1.10	1625	3.48396
old cd500->softmerge p1.10	1750	3.46119
old cd500->softmerge p1.10	1875	3.44003
old cd500->softmerge p1.10	2000	3.42040
old cd500->softmerge p1.10	2125	3.37791
old cd500->softmerge p1.10	2250	3.36104
old cd500->softmerge p1.10	2375	3.34799
old cd500->softmerge p1.10	2500	3.33600
old cd500->softmerge p1.10	2625	3.32538
old cd500->softmerge p1.10	2700	3.31974
old cd500->softmerge p1.10	2725	3.31804
old cd500->softmerge p1.10	2750	3.31640
old cd500->softmerge p1.10	2775	3.31460
old cd500->softmerge p1.10	2800	3.31303
old cd500->softmerge p1.10	2825	3.31167
old cd500->softmerge p1.10	2850	3.31031
old cd500->softmerge p1.10	2875	3.30907
old cd500->softmerge p1.10	2900	3.30778
old cd500->softmerge p1.10	2925	3.30661
old cd500->softmerge p1.10	2950	3.30566
old cd500->softmerge p1.10	2975	3.30473
old cd500->softmerge p1.10	3000	3.30405
oldtail + terminal SoftMuon	2525	3.33291
oldtail + terminal SoftMuon	2550	3.33067
oldtail + terminal SoftMuon	2575	3.32837
oldtail + terminal SoftMuon	2925	3.30602
oldtail + terminal SoftMuon	2950	3.30506
oldtail + terminal SoftMuon	2975	3.30410
oldtail + terminal SoftMuon	3000	3.30333
oldtail 2800 bump x2	2925	3.31375
oldtail 2800 bump x2	2950	3.31124
oldtail 2800 bump x2	2975	3.30845
oldtail 2800 bump x2	3000	3.30625
oldtail 2800 bump x3	2925	3.30880
oldtail 2800 bump x3	2950	3.30709
oldtail 2800 bump x3	2975	3.30534
oldtail 2800 bump x3	3000	3.30390
oldtail h3075,p1.10 old	1600	3.48242
oldtail h3075,p1.10 old	1875	3.43894
oldtail h3075,p1.10 old	1900	3.43442
oldtail h3075,p1.10 old	1925	3.43048
oldtail h3075,p1.10 old	1950	3.42740
oldtail h3075,p1.10 old	2075	3.38647
oldtail h3075,p1.10 old	2100	3.38099
oldtail h3075,p1.10 old	2125	3.37700
oldtail h3075,p1.10 old	2150	3.37268
oldtail h3075,p1.10 old	2375	3.34678
oldtail h3075,p1.10 old	2400	3.34382
oldtail h3075,p1.10 old	2425	3.34161
oldtail h3075,p1.10 old	2450	3.33890
oldtail h3075,p1.10 old	2900	3.30699
oldtail h3075,p1.10 old	2925	3.30581
oldtail h3075,p1.10 old	2950	3.30489
oldtail h3075,p1.10 old	2975	3.30401
oldtail h3075,p1.10 old	3000	3.30327
record h3075 mean	125	4.51405
record h3075 mean	250	4.05588
record h3075 mean	375	3.90709
record h3075 mean	500	3.82508
record h3075 mean	625	3.77139
record h3075 mean	750	3.73421
record h3075 mean	875	3.69349
record h3075 mean	1000	3.65132
record h3075 mean	1125	3.62556
record h3075 mean	1250	3.59335
record h3075 mean	1375	3.56591
record h3075 mean	1500	3.53575
record h3075 mean	1625	3.51358
record h3075 mean	1750	3.48530
record h3075 mean	1875	3.45812
record h3075 mean	2000	3.43156
record h3075 mean	2125	3.40734
record h3075 mean	2250	3.38342
record h3075 mean	2375	3.36188
record h3075 mean	2500	3.34077
record h3075 mean	2625	3.32131
record h3075 mean	2750	3.30442
record h3075 mean	2875	3.29056
record h3075 mean	3000	3.28106
