from_label	to_label	from_step	to_step	surface	n	delta_fro_mean	delta_fro_median	delta_stable_rank_mean	delta_stable_rank_median	delta_top1_energy_mean	delta_top1_energy_median	delta_top32_energy_mean	delta_top32_energy_median	w_top16_outside_left_frac_mean	w_top16_outside_left_frac_median	w_top16_outside_right_frac_mean	w_top16_outside_right_frac_median	w_top16_outside_both_frac_mean	w_top16_outside_both_frac_median	w_top32_outside_left_frac_mean	w_top32_outside_left_frac_median	w_top32_outside_right_frac_mean	w_top32_outside_right_frac_median	w_top32_outside_both_frac_mean	w_top32_outside_both_frac_median	w_top64_outside_left_frac_mean	w_top64_outside_left_frac_median	w_top64_outside_right_frac_mean	w_top64_outside_right_frac_median	w_top64_outside_both_frac_mean	w_top64_outside_both_frac_median	w_top128_outside_left_frac_mean	w_top128_outside_left_frac_median	w_top128_outside_right_frac_mean	w_top128_outside_right_frac_median	w_top128_outside_both_frac_mean	w_top128_outside_both_frac_median
cold2400	cold2500	2400	2500	mlp_fc	12	3.215668706630155	3.214709217691249	390.1251306771705	388.9209080679266	0.002564334016470287	0.0025551680637017123	0.07759787798035182	0.07731854672192878	0.9960350046555201	0.9960353970527649	0.9893743048111597	0.9892966747283936	0.9991593013207117	0.9991475939750671	0.9923959821462631	0.9923287630081177	0.9785988926887512	0.9785789847373962	0.9983700116475424	0.9983298182487488	0.9853261609872183	0.9852088689804077	0.956543505191803	0.9564489722251892	0.9965238521496455	0.9964916110038757	0.971524640917778	0.9716114401817322	0.9109216928482056	0.9108237624168396	0.9916317363580068	0.9916388988494873
cold2400	cold2500	2400	2500	mlp_proj	12	1.5896659142816987	1.5915480717653459	372.9823250908844	378.9203685051956	0.0026846839837484826	0.0026373709450538663	0.08058091836821042	0.07954151684472112	0.9891712963581085	0.9892080426216125	0.9956787129243215	0.995789110660553	0.9990657567977905	0.999076247215271	0.9783886124690374	0.9784514307975769	0.9916672805945078	0.991882860660553	0.9981865038474401	0.9981821775436401	0.956398273507754	0.9565284848213196	0.9838711222012838	0.9844255447387695	0.9961355129877726	0.9961568713188171	0.910955473780632	0.9111048579216003	0.9687943855921427	0.9701972603797913	0.9907571723063787	0.9909944534301758
cold2500	cold2600	2500	2600	attn_k	12	0.9976354273679675	1.000655495859763	259.2008133610546	260.5033511807757	0.003859396368690185	0.0038380194502657685	0.11421196566695492	0.11393250444549816	0.9877291967471441	0.987701952457428	0.9880541563034058	0.9880571961402893	0.9986698975165685	0.9986618161201477	0.9755482822656631	0.975489616394043	0.9764028489589691	0.9763213992118835	0.9970290760199229	0.9969830513000488	0.9513198981682459	0.951234757900238	0.9532319853703181	0.9530457854270935	0.9926125903924307	0.9926105737686157	0.9031162212292353	0.9031781554222107	0.9065093000729879	0.9062990546226501	0.9791353096564611	0.979248046875
cold2500	cold2600	2500	2600	attn_o	12	0.9835223775148659	0.9863453778561455	237.98754817567655	236.9046311146593	0.00420672811114478	0.00421589379145202	0.115796227148747	0.11560805477725838	0.9884077409903208	0.9883159399032593	0.9881647129853567	0.9880815744400024	0.9986736327409744	0.9986206889152527	0.9770482331514359	0.9768521189689636	0.9762728263934454	0.976328432559967	0.9970065156618754	0.9969090223312378	0.9541024068991343	0.9541311264038086	0.9522562821706136	0.9522702097892761	0.9924763242403666	0.9922938346862793	0.9074178536732992	0.9072126150131226	0.9032912800709406	0.9035342931747437	0.9787338674068451	0.9784398674964905
cold2500	cold2600	2500	2600	attn_q	12	0.9979209967704922	1.0018640073290979	257.0768355554358	258.5180491228764	0.0038920795136040687	0.0038619051906632396	0.11415462924955729	0.11372479782586856	0.9878129611412684	0.9878466129302979	0.9880149513483047	0.9880450367927551	0.9988150149583817	0.9987704157829285	0.9758225083351135	0.9759458303451538	0.9762748777866364	0.9763063788414001	0.9971838394800822	0.9971560835838318	0.9520023763179779	0.9518917798995972	0.9530152330795923	0.9527956247329712	0.9928088833888372	0.9927048683166504	0.9037588139375051	0.9033539891242981	0.9057010660568873	0.9055705666542053	0.9789924422899882	0.9788133502006531
cold2500	cold2600	2500	2600	attn_v	12	0.97860976931352	0.9793004526225878	237.72121742806544	239.8284442254152	0.004211831853259935	0.004148030303122031	0.11681000847172589	0.11689054436360409	0.9878637890021006	0.9877891540527344	0.9883999526500702	0.9883102178573608	0.9985375106334686	0.9985015392303467	0.9759045938650767	0.9758939146995544	0.976759339372317	0.976630449295044	0.9966993083556493	0.9966674447059631	0.951868419845899	0.9519223570823669	0.9533374160528183	0.9531260132789612	0.9918955316146215	0.9917744398117065	0.903386319677035	0.903218150138855	0.9058727274338404	0.9058728814125061	0.9776240040858587	0.9771726727485657
cold2500	cold2600	2500	2600	mlp_fc	12	2.198955380225035	2.2001764573509655	367.8505671488142	372.2706941071366	0.002724430005391401	0.0026849274422219853	0.07724249415537553	0.0770678300818092	0.9959906836350759	0.9960073828697205	0.9892934560775757	0.9892306327819824	0.9991547564665476	0.9991238117218018	0.9923436095317205	0.9922725558280945	0.978457972407341	0.9784075021743774	0.9983846594889959	0.998356819152832	0.9852968951066335	0.9852206110954285	0.9564048647880554	0.9562596678733826	0.9965809981028239	0.9965225458145142	0.9715046435594559	0.9716314673423767	0.9108511110146841	0.9106859564781189	0.9917681068181992	0.9917925596237183
cold2500	cold2600	2500	2600	mlp_proj	12	1.088360915243818	1.089383920445909	361.0358948929847	367.1837619174502	0.0027750686438329664	0.0027211085346371764	0.08040744835897186	0.07952213768384536	0.9890714734792709	0.9891138672828674	0.9955948541561762	0.9957663416862488	0.9990506072839102	0.9990478157997131	0.9782359600067139	0.978165864944458	0.9915761897961298	0.9918075799942017	0.9981912026802698	0.9982059597969055	0.956167608499527	0.9560791850090027	0.9837647626797358	0.9845098257064819	0.9961673865715662	0.9961780905723572	0.9107721894979477	0.9107969403266907	0.9687140136957169	0.9703434109687805	0.9908673614263535	0.9911510348320007
good2000	cold2250	2000	2250	attn_k	12	6.272752409558212	6.298979225416335	214.942261394994	216.05838169776797	0.004653191312948508	0.004626864751941527	0.1345222131643755	0.13407097574996485	0.9874774316946665	0.9874500036239624	0.9877972155809402	0.9878082275390625	0.9975854804118475	0.9975559115409851	0.9749670624732971	0.9750052690505981	0.9756124565998713	0.9757822751998901	0.9950255403916041	0.995010495185852	0.9500243663787842	0.9501789212226868	0.951378176609675	0.9515495896339417	0.9890176306168238	0.9890657663345337	0.9002445638179779	0.9001907110214233	0.9028715888659159	0.9030014276504517	0.973061685760816	0.9730949997901917
good2000	cold2250	2000	2250	attn_o	12	5.871864937835728	5.885097510762387	209.86003184752965	209.9500966496759	0.004765308083824877	0.004757879400401295	0.13761093392048904	0.1374863583486906	0.9877594361702601	0.9875020384788513	0.9879816919565201	0.9878662824630737	0.9971877137819926	0.9970962405204773	0.9755918582280477	0.9752157330513	0.9757933964331945	0.9756784439086914	0.994189848502477	0.9939438700675964	0.9511028031508127	0.9504995942115784	0.9513981342315674	0.9512753486633301	0.9874818871418635	0.9870371222496033	0.9019113034009933	0.9006997346878052	0.9020685106515884	0.902304470539093	0.9705631683270136	0.970000147819519
